dataset,study,tp,fp,fn,tn
AuditC,0,47,101,9,738
AuditC,1,126,272,51,1543
AuditC,2,19,12,10,192
AuditC,3,36,78,3,276
AuditC,4,130,211,19,959
AuditC,5,84,68,2,89
AuditC,6,68,112,0,423
AuditC,7,752,3226,0,2977
AuditC,8,59,55,5,136
AuditC,9,142,571,50,2788
AuditC,10,137,107,24,358
AuditC,11,57,103,3,437
AuditC,12,34,21,1,56
AuditC,13,152,88,51,264
smoking,0,21,28,15,324
smoking,1,90,120,10,969
smoking,2,104,26,8,232
smoking,3,332,92,18,673
smoking,4,3,2,0,77
smoking,5,437,78,23,901
smoking,6,23,18,13,332
smoking,7,350,77,35,155
smoking,8,397,32,34,154
smoking,9,379,9,37,854
smoking,10,478,45,72,1078
smoking,11,3,6,45,198
smoking,12,59,5,5,227
smoking,13,27,25,47,1233
smoking,14,81,5,7,170
smoking,15,103,13,5,169
smoking,16,81,7,24,213
smoking,17,103,11,8,209
smoking,18,120,54,5,329
smoking,19,21,22,25,177
smoking,20,15,35,0,198
smoking,21,17,27,2,200
smoking,22,120,39,1,148
smoking,23,132,110,52,889
smoking,24,158,95,8,960
smoking,25,55,32,0,180
smoking,26,57,29,1,180
smoking,27,312,45,24,594
smoking,28,163,24,3,178
smoking,29,177,9,4,178
smoking,30,141,45,3,180
smoking,31,28,2,3,164
smoking,32,346,13,3,77
smoking,33,336,25,3,75
smoking,34,25,3,11,40
smoking,35,56,2,33,49
smoking,36,149,15,8,370
smoking,37,213,2,47,76
smoking,38,206,9,28,95
smoking,39,214,2,0,20
smoking,40,187,29,6,14
smoking,41,207,9,0,20
smoking,42,126,0,11,181
smoking,43,115,2,7,179
smoking,44,77,1,2,43
smoking,45,83,11,2,43
smoking,46,71,7,3,42
smoking,47,76,18,3,42
smoking,48,1357,68,185,3322
smoking,49,1649,423,17,6632
smoking,50,19,1,2,96
Dementia,0,66,240,4,870
Dementia,1,118,10,12,110
Dementia,2,48,64,20,990
Dementia,3,134,28,8,152
Dementia,4,24,44,6,292
Dementia,5,68,48,16,154
Dementia,6,64,0,18,72
Dementia,7,282,20,64,286
Dementia,8,14,44,2,286
Dementia,9,262,30,20,178
Dementia,10,144,30,18,124
Dementia,11,184,34,34,52
Dementia,12,22,152,0,140
Dementia,13,112,590,0,2092
Dementia,14,152,126,82,1010
Dementia,15,30,26,26,236
Dementia,16,32,4,6,248
Dementia,17,10,12,4,334
Dementia,18,708,1438,88,10448
Dementia,19,182,18,108,184
Dementia,20,60,24,30,74
Dementia,21,74,16,24,144
Dementia,22,28,26,12,210
Dementia,23,40,76,6,528
Dementia,24,318,174,52,578
Dementia,25,388,16,116,54
Dementia,26,118,2,66,44
Dementia,27,44,34,8,396
Dementia,28,124,98,46,310
Dementia,29,26,4,44,172
Dementia,30,74,2,32,226
Dementia,31,38,0,46,440
Dementia,32,78,46,34,376
skin_tests,0,8,3,1,184
skin_tests,1,4,4,7,559
skin_tests,2,2,3,3,122
skin_tests,3,7,60,4,90
skin_tests,4,1,1,5,28
skin_tests,5,7,7,7,75
skin_tests,6,2,1,23,312
skin_tests,7,1,2,12,210
skin_tests,8,2,28,40,350
skin_tests,9,3,12,30,681
SAQ,0,21,28,15,324
SAQ,1,90,120,10,969
SAQ,2,104,26,8,232
SAQ,3,332,92,18,673
SAQ,4,3,2,0,77
SAQ,5,437,78,23,901
SAQ,6,23,18,13,332
SAQ,7,350,77,35,155
SAQ,8,397,32,34,154
SAQ,9,3,6,45,198
SAQ,10,59,5,5,227
SAQ,11,27,25,47,1233
SAQ,12,81,5,7,170
SAQ,13,103,13,5,169
SAQ,14,81,7,24,213
SAQ,15,103,11,8,209
SAQ,16,120,54,5,329
SAQ,17,21,22,25,177
SAQ,18,15,35,0,198
SAQ,19,17,27,2,200
SAQ,20,120,39,1,148
SAQ,21,132,110,52,889
SAQ,22,158,95,8,960
SAQ,23,55,32,0,180
SAQ,24,57,29,1,180
SAQ,25,163,24,3,178
SAQ,26,177,9,4,178
SAQ,27,141,45,3,180
SAQ,28,25,3,11,40
SAQ,29,56,2,33,49
SAQ,30,19,1,2,96
