study,ni,treatment,comment,mi,sdi
De Fronzo (1995),213,metformin,change,-1.7,1.459
De Fronzo (1995),209,placebo,change,0.2,1.446
Lewin (2007),431,metformin,change,-0.74,1.106
Lewin (2007),144,placebo,change,0.08,1.004
Willms (1999),29,metformin,change,-2.5,0.862
Willms (1999),31,acarbose,change,-2.3,1.782
Willms (1999),29,placebo,change,-1.3,1.831
Davidson (2007),117,rosiglitazone,change,-1.2,1.097
Davidson (2007),116,placebo,change,0.14,1.093
Wolffenbuttel (1999),183,rosiglitazone,change,-0.9,1.1
Wolffenbuttel (1999),192,placebo,change,0.2,1.11
Kipnes (2001),182,pioglitazone,change,-1.2,1.369
Kipnes (2001),181,placebo,change,0.1,1.024
Kerenyi (2004),160,rosiglitazone,change,-0.91,0.99
Kerenyi (2004),154,placebo,change,-0.14,0.92
Hanefeld (2004),319,pioglitazone,raw,7.61,1.072
Hanefeld (2004),320,metformin,raw,7.45,1.073
Derosa (2004),45,pioglitazone,raw,6.8,0.8
Derosa (2004),42,rosiglitazone,raw,6.7,0.9
Baksi (2004),218,rosiglitazone,change,-1.2,1.112
Baksi (2004),233,placebo,change,0.1,1.036
Rosenstock (2008),59,rosiglitazone,change,-1.17,1.229
Rosenstock (2008),57,placebo,change,-0.08,1.208
Zhu (2003),210,rosiglitazone,change,-1.9,1.47
Zhu (2003),105,placebo,change,-0.4,1.3
Yang (2003),102,rosiglitazone,change,-1.09,1.65
Yang (2003),96,metformin,change,-0.95,1.5
Vongthavaravat (2002),164,rosiglitazone,change,-1.1,1.559
Vongthavaravat (2002),170,sulfonylurea,change,0.1,0.992
Oyama (2008),41,acarbose,change,-0.7,0.8
Oyama (2008),43,sulfonylurea,change,-0.3,0.6
Costa (1997),36,acarbose,change,-1.1,0.36
Costa (1997),29,placebo,change,-0.3,0.7
Hermansen (2007),106,sitagliptin,change,-0.3,0.94
Hermansen (2007),106,placebo,change,0.27,0.94
Garber (2008),132,vildagliptin,change,-0.63,1.034
Garber (2008),144,placebo,change,0.07,1.08
Alex (1998),291,metformin,change,0.13,1.428
Alex (1998),300,sulfonylurea,change,0.5,1.45
Johnston (1994),68,miglitol,change,-0.41,1.072
Johnston (1994),63,placebo,change,0.33,1.032
Johnston (1998a),91,miglitol,change,-0.43,0.954
Johnston (1998a),43,placebo,change,0.98,1.311
Kim (2007),57,rosiglitazone,change,-1.1,1.341
Kim (2007),56,metformin,change,-1.1,1.139
Johnston (1998b),49,miglitol,change,-0.12,1.4
Johnston (1998b),34,placebo,change,0.56,1.166
Gonzalez-Ortiz (2004),34,metformin,change,-1.3,1.861
Gonzalez-Ortiz (2004),37,placebo,change,-0.9,1.803
Stucci (1996),28,benfluorex,raw,8.03,1.29
Stucci (1996),30,placebo,raw,8.26,1.35
Moulin (2006),161,benfluorex,change,-0.82,1.028
Moulin (2006),156,placebo,change,0.19,1.374
