ma,family,specialty,y,se,prec,pred_global,err_global,cov_global,pred_withinMA_prec,err_withinMA_prec,cov_withinMA_prec,pred_withinMA_rel,err_withinMA_rel,cov_withinMA_rel,pred_field,err_field,cov_field,pred_field_adapt,err_field_adapt,cov_field_adapt,pred_field_cross,err_field_cross,cov_field_cross,pred_scrambled,err_scrambled,cov_scrambled,k_sibs
assink2016,SMD,psych_criminology,0.9066,0.2720294101747089,13.513513513513512,0.08364489970297556,0.8229551002970243,0.0,0.2908905625903317,0.6157094374096683,1.0,0.2908854435647139,0.615714556435286,1.0,0.17328961758981842,0.7333103824101815,1.0,0.2796416939596338,0.6269583060403662,1.0,0.06572866303343688,0.840871336966563,0.0,0.0735881374507445,0.8330118625492555,0.0,99
assink2016,SMD,psych_criminology,0.4295,0.19949937343260005,25.125628140703515,0.0836913305497685,0.3458086694502315,1.0,0.2919512309076516,0.13754876909234837,1.0,0.29194611440554963,0.13755388559445036,1.0,0.17365280771214198,0.255847192287858,1.0,0.28062207621390856,0.14887792378609144,1.0,0.06572866303343688,0.3637713369665631,1.0,0.07361928149633211,0.35588071850366787,1.0,99
assink2016,SMD,psych_criminology,0.2679,0.2193171219946131,20.790020790020787,0.08378411927401652,0.1841158807259835,1.0,0.2928177590508916,0.024917759050891553,1.0,0.29281266010483126,0.02491266010483123,1.0,0.1741200486414411,0.09377995135855893,1.0,0.2814554997558865,0.013555499755886491,1.0,0.06572866303343688,0.20217133696656314,1.0,0.07368525029534269,0.19421474970465735,1.0,99
assink2016,SMD,psych_criminology,0.2078,0.15459624833740307,41.84100418410041,0.08375811522571426,0.12404188477428575,1.0,0.29348654686783704,0.08568654686783703,1.0,0.2934814341461647,0.08568143414616466,1.0,0.17417668276013443,0.033623317239865586,1.0,0.2820407107052491,0.0742407107052491,1.0,0.06572866303343688,0.14207133696656313,1.0,0.07366406798733785,0.13413593201266216,1.0,99
assink2016,SMD,psych_criminology,0.0526,0.1819340539866025,30.211480362537767,0.08387522353629125,0.031275223536291245,1.0,0.2942969873206917,0.2416969873206917,1.0,0.2942918995496382,0.24169189954963818,1.0,0.17470832163723604,0.12210832163723603,1.0,0.28283830321884446,0.23023830321884445,1.0,0.06572866303343688,0.013128663033436884,1.0,0.07374816074530222,0.021148160745302215,1.0,99
assink2016,SMD,psych_criminology,-0.0507,0.2976575213227443,11.286681715575623,0.08388618359986262,0.13458618359986263,1.0,0.2935520159143931,0.34425201591439314,1.0,0.2935469382969611,0.3442469382969611,1.0,0.17458873084991558,0.22528873084991557,1.0,0.28217554178574583,0.33287554178574585,1.0,0.06572866303343688,0.11642866303343688,1.0,0.07375846239925825,0.12445846239925826,1.0,99
assink2016,SMD,psych_criminology,0.5117,0.10723805294763608,86.95652173913044,0.08314583012588404,0.428554169874116,1.0,0.28847226480845306,0.22322773519154698,1.0,0.2884694405539076,0.22323055944609244,1.0,0.17125642157735002,0.34044357842265005,1.0,0.27717783802876467,0.23452216197123538,1.0,0.06573049843733814,0.4459695015626619,1.0,0.07323113622366251,0.43846886377633754,1.0,99
assink2016,SMD,psych_criminology,0.4738,0.08717797887081347,131.57894736842107,0.08287530529419691,0.3909246947058031,1.0,0.28735563528273994,0.18644436471726006,1.0,0.28735277237269646,0.18644722762730354,1.0,0.1701768003062992,0.3036231996937008,1.0,0.2760109940545356,0.1977890059454644,1.0,0.06573049843733814,0.40806950156266186,1.0,0.07303459273217418,0.40076540726782584,1.0,99
assink2016,SMD,psych_criminology,0.3544,0.0806225774829855,153.84615384615384,0.08306033148250785,0.27133966851749214,1.0,0.29056335569536923,0.06383664430463076,1.0,0.29056050832486047,0.06383949167513953,1.0,0.17140784207806076,0.18299215792193924,1.0,0.27899973827783636,0.07540026172216363,1.0,0.06573049843733814,0.28866950156266186,1.0,0.07316196831052729,0.2812380316894727,1.0,99
assink2016,SMD,psych_criminology,2.2844,0.5766281297335398,3.007518796992481,0.08373084648803988,2.2006691535119605,0.0,0.29139782888990995,1.9930021711100903,0.0,0.2914028316982612,1.9929971683017391,0.0,0.17375098494613914,2.1106490150538613,0.0,0.2801735165378989,2.0042264834621015,0.0,0.06573655015501502,2.218663449844985,0.0,0.07366816708971803,2.210731832910282,0.0,99
assink2016,SMD,psych_criminology,2.1771,0.5543464620614079,3.2541490400260336,0.08372715101340802,2.0933728489865917,0.0,0.2913667646904231,1.8857332353095768,0.0,0.2913717657520437,1.885728234247956,0.0,0.17373308510488847,2.0033669148951114,0.0,0.28014342226149497,1.896956577738505,0.0,0.06573655015501502,2.1113634498449847,0.0,0.07366552475257751,2.1034344752474223,0.0,99
assink2016,SMD,psych_criminology,1.7777,0.5193264869039514,3.7078235076010375,0.0837372916287069,1.6939627083712931,0.0,0.29150324078501366,1.4861967592149865,0.0,0.29150825119955853,1.4861917488004415,0.0,0.17379283373051319,1.6039071662694868,0.0,0.2802720587308418,1.4974279412691582,0.0,0.06573655015501502,1.711963449844985,0.0,0.07367262217561577,1.7040273778243842,0.0,99
assink2016,SMD,psych_criminology,1.548,0.6732755750805163,2.2060445621001548,0.08379552815566577,1.4642044718443343,0.0,0.29210068683892865,1.2558993131610714,1.0,0.2921057343755026,1.2558942656244976,1.0,0.17409730531400752,1.3739026946859925,1.0,0.28084331389702266,1.2671566861029775,1.0,0.06573655015501502,1.482263449844985,0.0,0.07346552131988339,1.4745344786801167,0.0,99
assink2016,SMD,psych_criminology,1.4855,0.3416138170507744,8.568980291345332,0.08362788009366236,1.4018721199063378,0.0,0.29047196133315517,1.1950280386668448,0.0,0.29047538919013544,1.1950246108098646,0.0,0.17322677964660563,1.3122732203533944,0.0,0.2792770597778756,1.2062229402221245,0.0,0.06573534795193554,1.4197646520480645,0.0,0.07359232073750975,1.4119076792624903,0.0,99
assink2016,SMD,psych_criminology,1.4836,0.4130375285612677,5.8616647127784285,0.08370054891279873,1.3998994510872014,0.0,0.2911807475952684,1.1924192524047317,0.0,0.2911842050257357,1.1924157949742642,0.0,0.17359906421266585,1.3100009357873341,0.0,0.27995686636620126,1.2036431336337987,0.0,0.06573534795193554,1.4178646520480644,0.0,0.07364397378567338,1.4099560262143267,0.0,99
assink2016,SMD,psych_criminology,1.2777,0.39217343102255153,6.501950585175553,0.08370899516787182,1.1939910048321283,0.0,0.2913063600204589,0.9863936399795412,1.0,0.29131136070609354,0.9863886392939065,1.0,0.17366426518477504,1.104035734815225,0.0,0.28007845831987616,0.997621541680124,1.0,0.06573655015501502,1.211963449844985,0.0,0.073652267100236,1.204047732899764,0.0,99
assink2016,SMD,psych_criminology,1.0311,0.5596427431853289,3.192848020434227,0.08379945117371397,0.9473005488262859,1.0,0.29219037917294205,0.7389096208270578,1.0,0.2921954336171112,0.7389045663828887,1.0,0.17412807593929724,0.8569719240607027,1.0,0.2809262449747941,0.7501737550252058,1.0,0.06573655015501502,0.9653634498449849,1.0,0.07371657475422537,0.9573834252457746,1.0,99
assink2016,SMD,psych_criminology,0.9409,0.3856163896931768,6.724949562878279,0.08374715302366066,0.8571528469763393,1.0,0.29175292090532784,0.6491470790946721,1.0,0.2917564045015188,0.6491435954984812,1.0,0.1738621956278962,0.7670378043721038,1.0,0.2804985540691185,0.6604014459308815,1.0,0.06573534795193554,0.8751646520480644,1.0,0.07367674811460555,0.8672232518853944,1.0,99
assink2016,SMD,psych_criminology,0.6263,0.4624932431938871,4.675081813931743,0.0838087740862588,0.5424912259137412,1.0,0.2923643916756555,0.3339356083243445,1.0,0.2923679009671784,0.33393209903282156,1.0,0.17418004104028723,0.45211995895971274,1.0,0.281084392007704,0.34521560799229595,1.0,0.06573534795193554,0.5605646520480644,1.0,0.07372051641346168,0.5525794835865383,1.0,99
assink2016,SMD,psych_criminology,-0.0447,0.1819340539866025,30.211480362537767,0.0839313690489199,0.1286313690489199,1.0,0.2949422041426258,0.3396422041426258,1.0,0.2949466571332029,0.3396466571332029,1.0,0.17510056085145706,0.21980056085145705,1.0,0.2834751528085525,0.32817515280855253,1.0,0.06573594956127131,0.11043594956127131,1.0,0.07407891521361387,0.11877891521361386,1.0,99
