"","acar","benf","metf","migl","piog","plac","rosi","sita","sulf","vild"
"acar",0,0.1671195093,0.1145670293,0.1669788528,0.1267850237,0.1085208454,0.1142154131,0.1686522573,0.1131021465,0.1672784024
"benf",0.1671195093,0,0.1403769381,0.1796032291,0.148003381,0.1270911346,0.1357344411,0.1811600577,0.156590507,0.179881757
"metf",0.1145670293,0.1403769381,0,0.1402094564,0.0698021377,0.0596114775,0.0676622996,0.1421982358,0.0885411421,0.1405660637
"migl",0.1669788528,0.1796032291,0.1402094564,0,0.1478445389,0.1269061204,0.1355612238,0.1810303107,0.1564403841,0.1797510873
"piog",0.1267850237,0.148003381,0.0698021377,0.1478445389,0,0.0758475068,0.0817772831,0.1497319415,0.1067046141,0.1481827733
"plac",0.1085208454,0.1270911346,0.0596114775,0.1269061204,0.0758475068,0,0.0476621653,0.1291,0.0914791254,0.1273
"rosi",0.1142154131,0.1357344411,0.0676622996,0.1355612238,0.0817772831,0.0476621653,0,0.1376171937,0.0920120087,0.1359300261
"sita",0.1686522573,0.1811600577,0.1421982358,0.1810303107,0.1497319415,0.1291,0.1376171937,0,0.1582252836,0.1813066463
"sulf",0.1131021465,0.156590507,0.0885411421,0.1564403841,0.1067046141,0.0914791254,0.0920120087,0.1582252836,0,0.1567600727
"vild",0.1672784024,0.179881757,0.1405660637,0.1797510873,0.1481827733,0.1273,0.1359300261,0.1813066463,0.1567600727,0
