"","acar","benf","metf","migl","piog","plac","rosi","sita","sulf","vild"
"acar",0,0.0778174774,0.286741217,0.1165639908,0.2390641349,-0.827368972,0.3744730387,-0.257368972,-0.3878718214,-0.127368972
"benf",-0.0778174774,0,0.2089237396,0.0387465134,0.1612466575,-0.9051864494,0.2966555613,-0.3351864494,-0.4656892988,-0.2051864494
"metf",-0.286741217,-0.2089237396,0,-0.1701772262,-0.0476770822,-1.114110189,0.0877318217,-0.544110189,-0.6746130384,-0.414110189
"migl",-0.1165639908,-0.0387465134,0.1701772262,0,0.122500144,-0.9439329629,0.2579090478,-0.3739329629,-0.5044358122,-0.2439329629
"piog",-0.2390641349,-0.1612466575,0.0476770822,-0.122500144,0,-1.0664331069,0.1354089038,-0.4964331069,-0.6269359562,-0.3664331069
"plac",0.827368972,0.9051864494,1.114110189,0.9439329629,1.0664331069,0,1.2018420107,0.57,0.4394971506,0.7
"rosi",-0.3744730387,-0.2966555613,-0.0877318217,-0.2579090478,-0.1354089038,-1.2018420107,0,-0.6318420107,-0.7623448601,-0.5018420107
"sita",0.257368972,0.3351864494,0.544110189,0.3739329629,0.4964331069,-0.57,0.6318420107,0,-0.1305028494,0.13
"sulf",0.3878718214,0.4656892988,0.6746130384,0.5044358122,0.6269359562,-0.4394971506,0.7623448601,0.1305028494,0,0.2605028494
"vild",0.127368972,0.2051864494,0.414110189,0.2439329629,0.3664331069,-0.7,0.5018420107,-0.13,-0.2605028494,0
