"","acar","benf","metf","migl","piog","plac","rosi","sita","sulf","vild"
"acar",0,-0.1106377234,0.284990413,0.1079414395,0.2873070156,-0.8417849382,0.3916708147,-0.2717849382,-0.425226138,-0.1417849382
"benf",0.1106377234,0,0.3956281364,0.2185791629,0.397944739,-0.7311472149,0.5023085381,-0.1611472149,-0.3145884146,-0.0311472149
"metf",-0.284990413,-0.3956281364,0,-0.1770489735,0.0023166026,-1.1267753512,0.1066804018,-0.5567753512,-0.710216551,-0.4267753512
"migl",-0.1079414395,-0.2185791629,0.1770489735,0,0.1793655761,-0.9497263777,0.2837293753,-0.3797263777,-0.5331675775,-0.2497263777
"piog",-0.2873070156,-0.397944739,-0.0023166026,-0.1793655761,0,-1.1290919538,0.1043637991,-0.5590919538,-0.7125331536,-0.4290919538
"plac",0.8417849382,0.7311472149,1.1267753512,0.9497263777,1.1290919538,0,1.233455753,0.57,0.4165588002,0.7
"rosi",-0.3916708147,-0.5023085381,-0.1066804018,-0.2837293753,-0.1043637991,-1.233455753,0,-0.663455753,-0.8168969528,-0.533455753
"sita",0.2717849382,0.1611472149,0.5567753512,0.3797263777,0.5590919538,-0.57,0.663455753,0,-0.1534411998,0.13
"sulf",0.425226138,0.3145884146,0.710216551,0.5331675775,0.7125331536,-0.4165588002,0.8168969528,0.1534411998,0,0.2834411998
"vild",0.1417849382,0.0311472149,0.4267753512,0.2497263777,0.4290919538,-0.7,0.533455753,-0.13,-0.2834411998,0
