"","acar","benf","metf","migl","piog","plac","rosi","sita","sulf","vild"
"acar",0,0.3771823939,0.2580629573,0.3378455897,0.3155991765,0.2458203057,0.2605183324,0.4310584135,0.265497466,0.4305227472
"benf",0.3771823939,0,0.3250186363,0.3681724533,0.360665834,0.2860750524,0.3133244249,0.4552171666,0.3739838851,0.4547099611
"metf",0.2580629573,0.3250186363,0,0.2784065339,0.2255575641,0.154266582,0.1651709478,0.3862407429,0.2352537564,0.3856428289
"migl",0.3378455897,0.3681724533,0.2784065339,0,0.3193006859,0.2317585377,0.2646606874,0.4231970616,0.334270894,0.422651432
"piog",0.3155991765,0.360665834,0.2255575641,0.3193006859,0,0.2196381302,0.2240281342,0.4166829027,0.3020497653,0.4161287317
"plac",0.2458203057,0.2860750524,0.154266582,0.2317585377,0.2196381302,0,0.1278016419,0.3540956554,0.2408838117,0.3534433662
"rosi",0.2605183324,0.3133244249,0.1651709478,0.2646606874,0.2240281342,0.1278016419,0,0.3764531748,0.2371470211,0.3758396903
"sita",0.4310584135,0.4552171666,0.3862407429,0.4231970616,0.4166829027,0.3540956554,0.3764531748,0,0.4282624708,0.5003058527
"sulf",0.265497466,0.3739838851,0.2352537564,0.334270894,0.3020497653,0.2408838117,0.2371470211,0.4282624708,0,0.427723303
"vild",0.4305227472,0.4547099611,0.3856428289,0.422651432,0.4161287317,0.3534433662,0.3758396903,0.5003058527,0.427723303,0
