study_id,yi,sei,rob_selection,rob_measurement,rob_reporting,quality_score,moderator,design
study_1,0.5384643006097541,0.18157252825451375,1.0,0.0,1.0,0.6666666666666666,0.43963660601699356,OBS
study_3,0.28389396129283134,0.19596164638493502,1.0,0.0,0.0,0.3333333333333333,0.27627417932855375,RCT
study_4,0.3266110521633712,0.16855256494009185,0.0,0.0,0.0,0.0,-1.4127658838923665,RCT
study_5,0.18855562765265824,0.06601014914090042,0.0,0.0,0.0,0.0,-2.310103436632644,OBS
study_7,0.7356417814863927,0.17939374933836,0.0,1.0,1.0,0.6666666666666666,-0.47177603363833576,OBS
study_8,0.9364397162201038,0.18363093189708213,1.0,0.0,1.0,0.6666666666666666,0.45938577171661177,RCT
study_9,0.3556820975514254,0.07177931755484279,1.0,0.0,0.0,0.3333333333333333,0.7019536262212701,RCT
study_10,0.4967262825605752,0.1265656094422464,0.0,0.0,1.0,0.3333333333333333,0.13824143205868192,RCT
study_11,0.2507406964292913,0.1130356641195388,0.0,0.0,0.0,0.0,0.7601330853758538,OBS
study_13,0.26533503544832493,0.15945707041371296,1.0,0.0,0.0,0.3333333333333333,0.5300647056014667,RCT
study_18,0.4942780685594461,0.06084893353770981,1.0,0.0,0.0,0.3333333333333333,-0.3937411722245721,OBS
study_19,0.7011678646011374,0.19069729923873896,0.0,0.0,1.0,0.3333333333333333,0.5211672557321126,RCT
study_20,0.3178456380805012,0.15738294785075102,0.0,1.0,0.0,0.3333333333333333,-0.265838791915379,OBS
study_21,0.4241753290974269,0.17887491581451354,0.0,0.0,1.0,0.3333333333333333,-0.11754216732813036,RCT
study_22,0.3383799737233074,0.11026941458207762,0.0,0.0,0.0,0.0,0.829519042024073,OBS
study_25,0.29938123863784516,0.18232519450253953,0.0,0.0,0.0,0.0,-1.4821853974428207,OBS
study_26,0.3025863081706418,0.08308858033483449,1.0,0.0,0.0,0.3333333333333333,-2.3336161198483047,OBS
study_27,0.3800665069808266,0.1293425706335958,1.0,1.0,0.0,0.6666666666666666,-0.6782644401551767,OBS
study_28,0.3470389581443526,0.0574466401838289,1.0,0.0,0.0,0.3333333333333333,0.7494338997277404,RCT
study_29,0.42955810402916494,0.07622921365148314,0.0,0.0,1.0,0.3333333333333333,-0.28488406638257474,RCT
study_30,0.1606065668440485,0.1661183220512173,1.0,0.0,1.0,0.6666666666666666,0.19779008194185213,RCT
study_32,0.33194868517618065,0.2144766545138157,1.0,0.0,0.0,0.3333333333333333,1.3276861322676916,RCT
study_33,0.39323159033428223,0.10539031088348583,0.0,1.0,1.0,0.6666666666666666,-0.06913793472613955,RCT
study_34,0.6604854603453054,0.1129781500259277,1.0,1.0,1.0,1.0,1.3535858895693973,RCT
study_35,0.32462462328761343,0.12982448791688733,0.0,0.0,0.0,0.0,0.09212665843410921,RCT
study_36,0.3682190491693043,0.08221013104432856,1.0,0.0,0.0,0.3333333333333333,-0.8373982238274621,RCT
study_37,0.12740630287180002,0.07208665590703017,1.0,0.0,1.0,0.6666666666666666,-0.5944003521987352,OBS
study_41,0.5511166181949128,0.12431582620829622,1.0,1.0,0.0,0.6666666666666666,0.8035850193786016,OBS
study_44,0.21448996521417052,0.10310232903494698,0.0,0.0,0.0,0.0,0.39282746825991893,RCT
study_47,0.37921837347297394,0.11587132443512965,1.0,0.0,0.0,0.3333333333333333,-0.1310866506877266,OBS
study_49,0.36503229578328844,0.1660242356757458,0.0,1.0,0.0,0.3333333333333333,0.9282969915684843,RCT
study_52,0.3319236725710289,0.05125158585767094,0.0,1.0,1.0,0.6666666666666666,-1.06975241128969,RCT
study_54,0.5263459136421076,0.16302464562064545,0.0,1.0,1.0,0.6666666666666666,0.4278904406949172,RCT
study_57,0.4266506074013365,0.1280156818415178,0.0,0.0,0.0,0.0,0.3619218539288437,OBS
study_58,0.3442525443481657,0.14668600331199194,1.0,0.0,0.0,0.3333333333333333,1.320661655528167,RCT
study_59,0.7424289114047852,0.07376548968170177,0.0,1.0,1.0,0.6666666666666666,-0.3427861508643793,RCT
study_60,0.13927090077253246,0.06947011250111548,0.0,0.0,0.0,0.0,-1.4768578168457318,OBS
study_61,0.21984237663653616,0.16362850350438018,0.0,1.0,0.0,0.3333333333333333,1.067222416571983,RCT
study_62,0.3310210985073235,0.13008635504433252,0.0,1.0,0.0,0.3333333333333333,-0.3314881720972547,OBS
study_63,0.4800002245824575,0.1460901381018021,0.0,0.0,0.0,0.0,1.114592444577377,OBS
study_64,0.537131289442631,0.18004980576072432,0.0,0.0,0.0,0.0,0.3833771131824704,RCT
study_67,0.5013474134078825,0.14506521732672029,1.0,1.0,0.0,0.6666666666666666,1.9510125601262995,OBS
study_68,0.3261445603531095,0.10167151667064407,0.0,0.0,0.0,0.0,2.076980529053753,OBS
study_71,0.30626634059170144,0.08647939437931997,1.0,0.0,1.0,0.6666666666666666,1.0762401574663856,RCT
study_72,0.1585598680620494,0.11944986943318814,0.0,1.0,1.0,0.6666666666666666,-0.8456610327673472,RCT
study_74,0.2420501300970127,0.08976971259710792,0.0,1.0,0.0,0.3333333333333333,-0.0258628479538564,RCT
study_75,0.19547075763335175,0.05991146608714122,0.0,0.0,1.0,0.3333333333333333,0.3139082114575536,RCT
study_77,0.29825824858594113,0.09991093882033622,0.0,0.0,0.0,0.0,-1.589567493308969,OBS
study_78,0.12504550497174674,0.16252580750357215,0.0,0.0,0.0,0.0,-2.0729834359912918,RCT
